rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,1,3,Avine Vinny
2,spotify:track:4u06FbRh6FvV2FQZkouzCw,Arranhão - Ao Vivo,2,2,3,Henrique & Juliano
3,spotify:track:3agFBAMPiIvzfTh7a9Udm6,Nota de Repúdio - Ao Vivo,3,3,3,Gusttavo Lima
4,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,4,3,Zé Neto & Cristiano
5,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,5,5,3,Zé Felipe
6,spotify:track:5Q0ZnQjk4lQpScX7ujswun,A Maior Saudade - Ao Vivo,6,8,3,Henrique & Juliano
7,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",6,6,3,DJ Patrick Muniz
8,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,6,7,3,Zé Neto & Cristiano
9,spotify:track:5SwyN9hzmWjBsINlif8li8,Ficha Limpa,9,9,3,Gusttavo Lima
10,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,10,11,3,Marília Mendonça
11,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,11,14,3,Diego & Victor Hugo
12,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,12,18,3,PEDRO SAMPAIO
13,spotify:track:1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,12,12,3,Tayrone
14,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,11,13,3,Matheus & Kauan
15,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,10,10,3,Mc Anjim
16,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,16,17,3,Felipe Amorim
17,spotify:track:3eq6zwPwN5SAw0rZxNHI22,Não Me Arranha - Ao Vivo,16,16,3,Gusttavo Lima
18,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,12,15,3,João Gomes
19,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,19,19,3,Vitor e Luan
20,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,20,65,2,Paulo Pires
21,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,21,24,3,Luan Santana
22,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,16,21,3,DG e Batidão Stronda
23,spotify:track:2ookQf9qP2qiBuNFnNXyfl,Chega E Senta - Ao Vivo,15,20,3,John Amplificado
24,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,18,22,3,Matheus Fernandes
25,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,17,25,3,Tarcísio do Acordeon
26,spotify:track:2jb8HW2CXr4mOJaw7LJyVw,Acordo - Ao Vivo,26,34,2,Henrique & Juliano
27,spotify:track:452LVnTBjXYW3guqe3xiqI,Vamo Tomar Uma,23,23,3,Zé Neto & Cristiano
28,spotify:track:6m84TzSTM5nbwZxIxkYHz6,Namorando Com Saudade,28,28,3,Jorge & Mateus
