rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,1,1,13,NATTAN
2,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,2,3,5,Grandão Vaqueiro
3,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,2,2,13,Marília Mendonça
4,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,4,6,4,Felipe Amorim
5,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,4,4,12,Simone Mendes
6,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,6,10,8,Israel & Rodolffo
7,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,4,5,5,KayBlack
8,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),8,—,1,Matuê
9,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,6,9,11,AgroPlay
10,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,4,8,13,WIU
11,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,1,7,7,Zé Felipe
12,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,5,12,13,MC Rogerinho
13,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,9,11,12,Matheus & Kauan
14,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,14,14,9,Zé Neto & Cristiano
15,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,14,15,13,Henrique & Juliano
16,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,7,17,13,Gustavo Mioto
17,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,17,19,4,KayBlack
18,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,9,21,13,Israel & Rodolffo
19,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,8,22,13,Matheus Fernandes
20,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,13,16,5,Wesley Safadão
21,spotify:track:2orGm2E68ODFYOURjaES62,Felina,13,20,13,WIU
22,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,24,13,Leo Santana
23,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,23,27,4,KayBlack
24,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,24,36,7,Grupo Menos É Mais
25,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,15,25,13,MC Cabelinho
26,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),18,18,3,MC PH
27,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,27,31,10,Guilherme & Benuto
29,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,25,28,13,MC Cabelinho
30,spotify:track:7aZnuwpivaj4N7XFhhqBiO,Love Absurdo,20,32,12,Mari Fernandez
31,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,9,33,13,Teto
32,spotify:track:0P0k5KoLcxi0kf1jik4v8X,Deixa Eu Viver - Ao Vivo,32,46,2,Mari Fernandez
33,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,14,29,13,Orochi
34,spotify:track:3xCkNUiap7EBjqnRldHSSh,Coladin (Minha Deusa),16,34,13,Zé Vaqueiro
35,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,8,23,12,MC Xenon
