rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,3,6,Marília Mendonça
2,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,2,2,4,MC Levin
3,spotify:track:4u06FbRh6FvV2FQZkouzCw,Arranhão - Ao Vivo,2,5,6,Henrique & Juliano
4,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,4,14,5,George Henrique & Rodrigo
5,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,1,6,Avine Vinny
6,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,3,4,6,PEDRO SAMPAIO
7,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,6,6,4,Paulo Pires
8,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,8,9,6,Marília Mendonça
9,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,7,6,Zé Felipe
10,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",2,8,6,DJ Patrick Muniz
11,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,11,29,3,Marília Mendonça
12,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,4,10,6,Mc Anjim
13,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,7,12,6,Zé Neto & Cristiano
14,spotify:track:3agFBAMPiIvzfTh7a9Udm6,Nota de Repúdio - Ao Vivo,6,11,6,Gusttavo Lima
15,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,15,45,2,Zé Felipe
16,spotify:track:5Q0ZnQjk4lQpScX7ujswun,A Maior Saudade - Ao Vivo,11,17,6,Henrique & Juliano
17,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,8,23,6,Zé Neto & Cristiano
18,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,9,13,6,Matheus Fernandes
19,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,15,27,6,Matheus & Kauan
20,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,20,24,4,Marina Sena
21,spotify:track:1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,15,32,6,Tayrone
22,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,15,15,6,Felipe Amorim
23,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,10,20,6,Matuê
24,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,12,25,6,Luan Santana
25,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,17,18,6,DG e Batidão Stronda
26,spotify:track:3eq6zwPwN5SAw0rZxNHI22,Não Me Arranha - Ao Vivo,26,34,6,Gusttavo Lima
27,spotify:track:3Lw41pfko5XMrsHRtlbo2k,Bota a Mão no Chão,27,64,2,Felipe Cardoso DJ
28,spotify:track:2ookQf9qP2qiBuNFnNXyfl,Chega E Senta - Ao Vivo,11,19,6,John Amplificado
29,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,12,21,6,João Gomes
30,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,21,22,6,Zé Felipe
31,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,16,16,3,Marília Mendonça
32,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,24,35,6,Vitor e Luan
33,spotify:track:62d4BfCTUHdOsARRETHLDz,Mete a Louca,28,46,6,MC Rogerinho
34,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,19,26,6,Tarcísio do Acordeon
35,spotify:track:6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,28,28,6,Japãozin
36,spotify:track:2s9BO8c0co0PmgBiUoTT17,A QUEDA,23,30,6,Gloria Groove
37,spotify:track:6pQKUKBpwr6GhfhcFFFozo,Não Nasceu pra Namorar,18,31,6,MC Zaquin
38,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,34,37,3,Marília Mendonça
39,spotify:track:5SwyN9hzmWjBsINlif8li8,Ficha Limpa,16,33,6,Gusttavo Lima
40,spotify:track:6m84TzSTM5nbwZxIxkYHz6,Namorando Com Saudade,31,55,6,Jorge & Mateus
41,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,23,51,6,Diego & Victor Hugo
42,spotify:track:3IAfUEeaXRX9s9UdKOJrFI,Envolver,42,84,2,Anitta
43,spotify:track:4AAIAVjSyiq1N7SXKkwXZe,Troca de Calçada,16,36,3,Marília Mendonça
44,spotify:track:53BkPZwlaLbW77uV9BnJkl,Eu Fiz o Jogo Virar,27,40,6,Mc Poze do Rodo
45,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,45,52,6,Max e Luan
46,spotify:track:2jPACjKR21inTnWeo3eHla,"Louis V, Menina Linda",32,39,6,Sidoka
