rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,9,AgroPlay
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,12,Marília Mendonça
3,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,3,12,Israel & Rodolffo
4,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,4,4,3,Zé Felipe
5,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,4,5,8,MC Xenon
6,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,5,6,7,Zé Neto & Cristiano
7,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,5,7,9,Henrique & Juliano
8,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,7,8,8,Guilherme & Benuto
9,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,9,9,9,Matheus & Kauan
10,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,3,10,12,Gustavo Mioto
11,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,5,11,12,WIU
12,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,12,12,10,Gusttavo Lima
13,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,13,17,9,Simone Mendes
14,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,13,13,3,MC Kevin o Chris
15,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,15,16,5,Israel & Rodolffo
16,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,8,20,12,Ana Castela
17,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,17,21,4,Clayton & Romário
