rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,13,AgroPlay
2,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,3,9,Israel & Rodolffo
3,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,2,2,11,Zé Neto & Cristiano
4,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,4,4,13,Simone Mendes
5,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,4,7,13,Henrique & Juliano
6,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,5,13,Marília Mendonça
7,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,5,6,13,Matheus & Kauan
8,spotify:track:5v8EhStRWlvoY2qbcZR5R2,Mágica - Ao Vivo,6,8,5,Hugo & Guilherme
9,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,7,9,12,Guilherme & Benuto
10,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,3,11,13,Israel & Rodolffo
11,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,10,10,8,Clayton & Romário
12,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,11,13,6,Henrique & Juliano
13,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,12,12,5,KayBlack
14,spotify:track:1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love) - Ao Vivo,14,15,3,Gusttavo Lima
15,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,4,21,13,Gustavo Mioto
16,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,8,17,13,Gusttavo Lima
17,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,13,22,13,NATTAN
18,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,10,19,13,Gustavo Mioto
19,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,19,24,6,Luan Pereira
20,spotify:track:6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,11,18,9,Hugo & Guilherme
21,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,2,14,7,Zé Felipe
22,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,5,23,13,Maiara & Maraisa
23,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,6,16,12,MC Xenon
24,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),20,20,3,MC PH
25,spotify:track:5yscNPMHmhqHQX9B9GFzMp,Te Esqueci Sem Querer - Ao Vivo Em Brasília,25,48,2,Henrique & Juliano
26,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,7,25,13,Matheus & Kauan
27,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,8,27,13,Israel & Rodolffo
28,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,14,30,8,MC Kevin o Chris
29,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,22,31,10,MC Rogerinho
30,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,30,41,8,Grupo Menos É Mais
31,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,7,28,13,WIU
32,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,16,33,13,Ana Castela
33,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,33,37,4,Grandão Vaqueiro
34,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,29,29,5,KayBlack
35,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,20,38,13,Naiara Azevedo
36,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),36,—,1,Matuê
37,spotify:track:5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,19,34,13,Guilherme & Benuto
38,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,25,26,5,Wesley Safadão
39,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,26,36,13,Felipe e Rodrigo
40,spotify:track:2slHCHYP7ogpGSsCumJT1a,Fulano - Ao Vivo,32,32,5,Murilo Huff
41,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,23,40,13,Jorge & Mateus
42,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,42,50,2,Felipe Amorim
43,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,42,13,Leo Santana
44,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,18,44,13,Matheus Fernandes
45,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,43,46,5,KayBlack
