rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,2,5,Gustavo Mioto
2,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,1,17,Guilherme & Benuto
3,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,2,3,9,Guilherme & Benuto
4,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,3,4,7,Diego & Victor Hugo
5,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,5,15,2,Gusttavo Lima
6,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,3,5,13,Mc Paiva ZS
7,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,3,6,12,Jorge & Mateus
8,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,2,7,11,Hugo & Guilherme
9,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,8,40,Hugo & Guilherme
10,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,4,14,24,Jorge & Mateus
11,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,11,11,25,Mari Fernandez
12,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,11,13,11,Matheus & Kauan
13,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,1,10,15,Gusttavo Lima
14,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,17,31,Matheus Fernandes
15,spotify:track:2orGm2E68ODFYOURjaES62,Felina,15,28,3,WIU
16,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,16,24,11,Murilo Huff
17,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,2,18,13,Marília Mendonça
18,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,3,16,18,L7NNON
19,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,16,22,21,Israel & Rodolffo
20,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,9,23,27,Hugo & Guilherme
21,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,9,9,22,Henrique & Juliano
22,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,2,12,10,Luan Santana
23,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,13,27,28,Paulo e Nathan
24,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,3,25,18,Ana Castela
25,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,3,20,14,Mc Jacaré
