rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,1,1,7,Israel & Rodolffo
2,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,2,8,MC MENOR HR
3,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,3,14,Gustavo Mioto
4,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,4,26,Guilherme & Benuto
5,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,5,5,10,Matheus & Kauan
6,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,3,6,16,Diego & Victor Hugo
7,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,2,7,18,Guilherme & Benuto
8,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,8,11,10,Felipe e Rodrigo
9,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,8,8,5,Zé Felipe
10,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,3,9,21,Jorge & Mateus
11,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,11,13,3,Israel & Rodolffo
12,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,12,18,7,Guilherme & Benuto
13,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,5,10,11,Gusttavo Lima
14,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,3,12,22,Mc Paiva ZS
15,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,15,17,5,DJ Dozabri
16,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,14,49,Hugo & Guilherme
17,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,15,19,20,Murilo Huff
18,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,15,15,11,Dj LK da Escócia
19,spotify:track:2orGm2E68ODFYOURjaES62,Felina,10,16,12,WIU
20,spotify:track:4wbE3P0UfKNE8elrtoCEs5,Meu Plano Falhou - Ao Vivo,20,—,1,Akatu
21,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,3,20,33,Jorge & Mateus
22,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,12,21,20,Matheus & Kauan
23,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,15,23,30,Israel & Rodolffo
24,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),24,24,6,Kadu Martins
25,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,18,22,7,Orochi
26,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,10,27,40,Matheus & Kauan
27,spotify:track:2osKviuJDAeNJVUYPVGfbF,Ta Baratinho Não (No 12) - Ao Vivo,27,85,2,Maurício & Eduardo
28,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,28,45,11,Gusttavo Lima
