rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,1,5,MC MENOR HR
2,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,2,2,4,Israel & Rodolffo
3,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,3,11,Gustavo Mioto
4,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,4,23,Guilherme & Benuto
5,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,5,6,7,Matheus & Kauan
6,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,3,5,13,Diego & Victor Hugo
7,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,2,7,15,Guilherme & Benuto
8,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,5,8,8,Gusttavo Lima
9,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,3,10,18,Jorge & Mateus
10,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,3,9,19,Mc Paiva ZS
11,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,13,46,Hugo & Guilherme
12,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,12,43,2,Zé Felipe
13,spotify:track:2orGm2E68ODFYOURjaES62,Felina,10,11,9,WIU
14,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,14,20,4,Guilherme & Benuto
15,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,3,14,30,Jorge & Mateus
16,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,15,15,8,Dj LK da Escócia
17,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,12,16,17,Matheus & Kauan
18,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,15,18,17,Murilo Huff
19,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,2,17,17,Hugo & Guilherme
20,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,20,33,7,Felipe e Rodrigo
21,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,15,19,27,Israel & Rodolffo
22,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,22,28,4,Orochi
23,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,1,21,33,Hugo & Guilherme
24,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,10,26,37,Matheus & Kauan
25,spotify:track:78Nq3s407XlxYmlvcbdg6L,"Céu Pra Gente Errar - Ao Vivo, Modão Moderno",25,—,1,Mattão e Monteiro
26,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,22,26,Ana Castela
27,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,3,27,19,Marília Mendonça
28,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,7,29,28,Henrique & Juliano
29,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,29,60,2,DJ Dozabri
30,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,21,25,27,Mari Fernandez
31,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),31,42,3,Kadu Martins
